task_name,total_count,legal_percent,tie_percent,unknown_percent,bias_percent,accuracy,f1
AudioCaps_Hallu_v1s_GAMA_complex_with_tie,3825,100.0,0.0,0.0,98.90196078431373,51.032679738562095,4.292284108329075
AudioCaps_Hallu_v1s_GAMA_simple_with_tie,3825,99.81699346405229,0.026143790849673207,0.1568627450980392,85.98692810457517,55.372549019607845,30.241111565181853
AudioCaps_Hallu_v1s_LTU_complex_with_tie,3825,51.81699346405229,22.954248366013072,25.22875816993464,51.81699346405229,25.699346405228756,0.0
AudioCaps_Hallu_v1s_LTU_simple_with_tie,3825,6.169934640522875,60.732026143790854,33.09803921568628,2.9281045751633985,3.7385620915032685,4.064616988014591
AudioCaps_Hallu_v2s_GAMA_complex_with_tie,3825,99.97385620915033,0.026143790849673207,0.0,99.52941176470588,49.673202614379086,1.7355793772332824
AudioCaps_Hallu_v2s_GAMA_simple_with_tie,3825,99.37254901960785,0.0,0.6274509803921569,85.8562091503268,53.72549019607843,28.57142857142857
AudioCaps_Hallu_v2s_LTU_complex_with_tie,3825,58.19607843137254,20.81045751633987,20.99346405228758,58.19607843137254,28.522875816993466,0.0
AudioCaps_Hallu_v2s_LTU_simple_with_tie,3825,5.777777777777778,61.38562091503268,32.83660130718955,3.241830065359477,3.215686274509804,2.6813880126182967
Clotho_Hallu_v1s_GAMA_complex_with_tie,6310,99.96830427892235,0.03169572107765452,0.0,98.84310618066561,50.38034865293185,4.104134762633997
Clotho_Hallu_v1s_GAMA_simple_with_tie,6310,99.66719492868464,0.15847860538827258,0.17432646592709986,78.6053882725832,50.72900158478605,31.444321940463066
Clotho_Hallu_v1s_LTU_complex_with_tie,6310,88.85895404120444,2.567353407290016,8.573692551505546,88.85895404120444,43.54992076069731,0.0
Clotho_Hallu_v1s_LTU_simple_with_tie,6310,4.374009508716323,80.25356576862124,15.372424722662439,3.438985736925515,2.567353407290016,1.4743589743589742
Clotho_Hallu_v2s_GAMA_complex_with_tie,6310,99.92076069730587,0.07923930269413629,0.0,98.63708399366085,51.79080824088748,4.9375
Clotho_Hallu_v2s_GAMA_simple_with_tie,6310,99.46117274167987,0.14263074484944532,0.39619651347068147,75.61014263074485,53.85103011093503,37.32242789496341
Clotho_Hallu_v2s_LTU_complex_with_tie,6310,88.27258320126784,3.248811410459588,8.478605388272584,88.24088748019018,44.12044374009509,0.11331444759206798
Clotho_Hallu_v2s_LTU_simple_with_tie,6310,3.3914421553090333,83.47068145800317,13.137876386687797,2.836767036450079,2.155309033280507,0.6756756756756757
